CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
COB11,The diagnosis is inconsistent with the procedure,Provider Billing Error,Provider Billing Error/Diagnosis
COB12,The diagnosis is inconsistent with the provider type,Provider Billing Error,Provider Billing Error/Diagnosis
COB13,Previously paid. Payment for this claim/service may have been provided in a previous payment.,Provider Billing Error,Provider Billing Error/Duplicate
COB14,Payment denied because only one visit or consultation per physician per day is covered.,Provider Billing Error,Provider Billing Error/Other
COB15,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
COB16,Payment adjusted because 'New Patient' qualifications were not met.,Provider Billing Error,Provider Billing Error/Other
COB17,"Payment adjusted because this service was not prescribed by a physician, not prescribed prior to delivery, the prescription is incomplete, or the prescription is not current.",Documentation/Attachments,Documentation/Attachments
COB18,Exact duplicate claim/service,Provider Billing Error,Provider Billing Error/Duplicate
COB19,Claim/service adjusted because of the finding of a Review Organization.,Other Insurance,Coverage/Workers Comp
COB2,Covered visits.,Patient Responsibility,Patient Responsibility/Coinsurance
COB20,This injury/illness is covered by the liability carrier,Other Insurance,COB/No Fault
COB21,The charges were reduced because the service/care was partially furnished by another physician.,Other Insurance,COB/No Fault
COB22,This payment is adjusted based on the diagnosis.,Provider Billing Error,Provider Billing Error/Diagnosis
COB23,Payment denied because this provider has failed an aspect of a proficiency testing program.,COB/Other Payer,COB/Other Payer
COB3,Covered charges.,Patient Responsibility,Patient Responsibility/Copay
COB4,The procedure code is inconsistent with the modifier used,Provider Billing Error,Provider Billing Error/Modifier
COB5,Payment adjusted because coverage/program guidelines were not met or were exceeded.,Coverage/Eligibility,Coverage/Eligibility
COB6,"This payment is adjusted when performed/billed by this type of provider, by this type of provider in this type of facility, or by a provider of this specialty.",Provider Billing Error,Provider Billing Error/Coding
COB7,The procedure/revenue code is inconsistent with the patient's gender,Provider Billing Error,Provider Billing Error/Coding
COB8,"Claim/service not covered/reduced because alternative services were available, and should have been utilized.",Provider Billing Error,Provider Billing Error/Coding
COB9,The diagnosis is inconsistent with the patient's age,Provider Billing Error,Provider Billing Error/Diagnosis
COD1,Claim/service denied. Level of subluxation is missing or inadequate.,Coverage/Eligibility,Coverage/Eligibility
COD10,Claim/service denied. Completed physician financial relationship form not on file.,Documentation/Attachments,Documentation/Attachments
COD11,Claim lacks completed pacemaker registration form.,Documentation/Attachments,Documentation/Attachments
COD12,Claim/service denied. Claim does not identify who performed the purchased diagnostic test or the amount you were charged for the test.,Documentation/Attachments,Documentation/Attachments
COD13,Claim/service denied. Performed by a facility/supplier in which the ordering/referring physician has a financial interest.,Conflict of Interest,Other/Unspecified
COD14,Claim lacks indication that plan of treatment is on file.,Documentation/Attachments,Documentation/Attachments
COD15,Claim lacks indication that service was supervised or evaluated by a physician.,Documentation/Attachments,Documentation/Attachments
COD16,Claim lacks prior payer payment information.,Documentation/Attachments,Documentation/Attachments
COD17,Claim/Service has invalid non-covered days.,Provider Billing Error,Provider Billing Error/Other
COD18,Claim/Service has missing diagnosis information.,Provider Billing Error,Provider Billing Error/Diagnosis
COD19,Claim/Service lacks Physician/Operative or other supporting documentation,Documentation/Attachments,Documentation/Attachments
COD2,"Claim lacks the name, strength, or dosage of the drug furnished.",Coverage/Eligibility,Coverage/Eligibility
COD20,Claim/Service missing service/product information.,Documentation/Attachments,Documentation/Attachments
COD21,This (these) diagnosis(es) is (are) missing or are invalid,Provider Billing Error,Provider Billing Error/Diagnosis
COD3,Claim/service denied because information to indicate if the patient owns the equipment that requires the part or supply was missing.,Coverage/Eligibility,Coverage/Eligibility
COD4,Claim/service does not indicate the period of time for which this will be needed.,Documentation/Attachments,Documentation/Attachments
COD5,Claim/service denied. Claim lacks individual lab codes included in the test.,Documentation/Attachments,Documentation/Attachments
COD6,Claim/service denied. Claim did not include patient's medical record for the service.,Documentation/Attachments,Documentation/Attachments
COD7,Claim/service denied. Claim lacks date of patient's most recent physician visit.,Documentation/Attachments,Documentation/Attachments
COD8,Claim/service denied. Claim lacks indicator that 'x-ray is available for review.',Documentation/Attachments,Documentation/Attachments
COD9,"Claim/service denied. Claim lacks invoice or statement certifying the actual cost of the lens, less discounts or the type of intraocular lens used.",Documentation/Attachments,Documentation/Attachments
COP12,Workers Compensation jurisdictional fee schedule adjustment,Other Insurance,Coverage/Workers Comp
COP14,Payment included in payment for another service/procedure on same day (Property & Casualty),Bundled/Inclusive,Bundled/Inclusive
COP5,Based on payer reasonable and customary fees,Contractual/Payment,Contractual/Payment/Other
COP7,Coinsurance day limits reached,Benefit Limits,Benefit Limits/Other
COW1,Workers Compensation State Fee Schedule Adjustment,Other Insurance,Coverage/Workers Comp
CR1,Deductible Amount,Patient Responsibility,Patient Responsibility/Deductible
CR10,The diagnosis is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Diagnosis
CR100,Payment made to patient/insured/responsible party.,Contractual/Payment,Contractual/Payment/Other
CR101,Predetermination: anticipated payment upon completion of services or claim adjudication.,Predetermination,Other/Unspecified
CR102,Major Medical Adjustment.,Major Medical,Other/Unspecified
CR103,"Provider promotional discount (e.g., Senior citizen discount).",Contractual/Payment,Contractual/Payment/Other
CR104,Managed care withholding.,Contractual/Payment,Contractual/UCR
CR105,Tax withholding.,Contractual/Payment,Contractual/Payment/Other
CR106,Patient payment option/election not in effect.,Coverage/Eligibility,Coverage/Eligibility
CR107,Claim/service adjusted because the related or qualifying claim/service was not identified on this claim.,Authorization/Precert,Authorization/Precert
CR108,Payment adjusted because rent/purchase guidelines were not met.,Coverage/Eligibility,Coverage/Eligibility
CR109,Claim not covered by this payer/contractor. You must send the claim to the correct payer/contractor.,Coverage/Eligibility,Coverage/Eligibility
CR11,The diagnosis is inconsistent with the procedure.,Provider Billing Error,Provider Billing Error/Diagnosis
CR110,Billing date predates service date.,Provider Billing Error,Provider Billing Error/Other
CR111,Not covered unless the provider accepts assignment.,Coverage/Eligibility,Coverage/Eligibility
CR112,Payment adjusted as not furnished directly to the patient and/or not documented.,Coverage/Eligibility,Coverage/Eligibility
CR113,Payment denied because service/procedure was provided outside the United States or as a result of war.,Coverage/Eligibility,Coverage/Eligibility
CR114,Procedure/product not approved by the Food and Drug Administration.,Coverage/Eligibility,Coverage/Eligibility
CR115,Payment adjusted as procedure postponed or canceled.,Medical Necessity/Review,Medical Necessity/Review
CR116,Payment denied. The advance indemnification notice signed by the patient did not comply with requirements.,Coverage/Eligibility,Coverage/Eligibility
CR117,Payment adjusted because transportation is only covered to the closest facility that can provide the necessary care.,Coverage/Eligibility,Coverage/Transport
CR118,Charges reduced for ESRD network support.,Coverage/Eligibility,Coverage/Transport
CR119,Benefit maximum has been reached,Benefit Limits,Benefit Limits
CR12,The diagnosis is inconsistent with the provider type.,Provider Billing Error,Provider Billing Error/Diagnosis
CR120,Patient is covered by a managed care plan.,Contractual/Payment,Contractual/UCR
CR121,Indemnification adjustment.,Contractual/Payment,Contractual/Payment/Other
CR122,Psychiatric reduction.,Contractual/Payment,Contractual/Payment/Other
CR123,Payer refund due to overpayment.,Refund/Recovery,Refund/Recovery
CR124,Payer refund amount - not our patient.,Refund/Recovery,Refund/Recovery
CR125,Payment adjusted due to a submission/billing error(s). Additional information is supplied using the remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
CR126,Deductible -- Major Medical,Patient Responsibility,Patient Responsibility/Deductible
CR127,Coinsurance -- Major Medical,Patient Responsibility,Patient Responsibility/Coinsurance
CR128,Newborn's services are covered in the mother's Allowance.,Coverage/Eligibility,Coverage/Eligibility
CR129,Payment denied - Prior processing information appears incorrect.,COB/Other Payer,COB/Other Payer
CR13,The date of death precedes the date of service.,Provider Billing Error,Provider Billing Error/Other
CR130,Claim submission fee.,Contractual/Payment,Contractual/Payment/Other
CR131,Claim specific negotiated discount.,Program/Demo Adjustment,Program/Demo
CR132,Prearranged demonstration project adjustment.,Program/Demo Adjustment,Program/Demo
CR133,The disposition of this claim/service is pending further review.,Pending/Processing,Pending/Review
CR134,Technical fees removed from charges.,Bundled/Inclusive,Bundled/Inclusive
CR135,Claim denied. Interim bills cannot be processed.,Provider Billing Error,Provider Billing Error/Other
CR136,Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA).,Coverage/Eligibility,Coverage/Eligibility
CR137,"Payment/Reduction for Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Contractual/Payment,Contractual/Payment/Other
CR138,Claim/service denied. Appeal procedures not followed or time limits not met.,Appeals/Timely Filing,Appeals/Timely Filing
CR139,Contracted funding agreement - Subscriber is employed by the provider of services.,Contractual/Payment,Contractual/Payment/Other
CR14,The date of birth follows the date of service.,Provider Billing Error,Provider Billing Error/Other
CR140,Patient/Insured health identification number and name do not match.,Provider Billing Error,Provider Billing Error/Other
CR141,Claim adjustment because the claim spans eligible and ineligible periods of coverage.,Coverage/Eligibility,Coverage/Eligibility
CR142,Claim adjusted by the monthly Medicaid patient liability amount.,Contractual/Payment,Contractual/Payment/Other
CR143,Portion of payment deferred.,Contractual/Payment,Contractual/Payment/Other
CR144,"Incentive adjustment, e.g. preferred product/service.",Contractual/Payment,Contractual/Payment/Other
CR145,Premium payment withholding,Contractual/Payment,Contractual/Payment/Other
CR146,Payment denied because the diagnosis was invalid for the date(s) of service reported.,Provider Billing Error,Provider Billing Error/Diagnosis
CR147,Provider contracted/negotiated rate expired or not on file.,Appeals/Timely Filing,Appeals/Timely Filing
CR148,Claim/service rejected at this time because information from another provider was not provided or was insufficient/incomplete.,Documentation/Attachments,Documentation/Attachments
CR149,Lifetime benefit maximum has been reached for this service/benefit category.,Benefit Limits,Benefit Limits
CR15,"Payment adjusted because the submitted authorization number is missing, invalid, or does not apply to the billed services or provider.",Authorization/Precert,Authorization/Precert
CR150,Payment adjusted because the payer deems the information submitted does not support this level of service.,Medical Necessity/Review,Medical Necessity/Review
CR151,Payment adjusted because the payer deems the information submitted does not support this many services.,Medical Necessity/Review,Medical Necessity/Review
CR152,Payment adjusted because the payer deems the information submitted does not support this length of service.,Medical Necessity/Review,Medical Necessity/Review
CR153,Payment adjusted because the payer deems the information submitted does not support this dosage.,Medical Necessity/Review,Medical Necessity/Review
CR154,Payment adjusted because the payer deems the information submitted does not support this day's supply.,Documentation/Attachments,Documentation/Attachments
CR155,This claim is denied because the patient refused the service/procedure.,Medical Necessity/Review,Medical Necessity/Review
CR156,Flexible spending account payments,Pending/Processing,Pending/Review
CR157,Payment denied/reduced because service/procedure was provided as a result of an act of war.,Coverage/Eligibility,Coverage/Eligibility
CR158,Payment denied/reduced because the service/procedure was provided outside of the United States.,Coverage/Eligibility,Coverage/Eligibility
CR159,Payment denied/reduced because the service/procedure was provided as a result of terrorism.,Coverage/Eligibility,Coverage/Eligibility
CR16,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
CR160,Payment denied/reduced because injury/illness was the result of an activity that is a benefit exclusion.,Coverage/Eligibility,Coverage/Eligibility
CR161,Provider performance bonus,Contractual/Payment,Contractual/Payment/Other
CR162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",Regulatory/Sequestration,Regulatory/Sequestration
CR163,Claim/Service adjusted because the attachment referenced on the claim was not received.,Documentation/Attachments,Documentation/Attachments
CR164,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion.,Documentation/Attachments,Documentation/Attachments
CR165,"Payment denied /reduced for absence of, or exceeded referral",Documentation/Attachments,Documentation/Attachments
CR166,These services were submitted after this payers responsibility for processing claims under this plan ended.,Documentation/Attachments,Documentation/Attachments
CR167,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
CR168,Payment denied as Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan,Patient Responsibility,Patient Responsibility/Deductible
CR169,Payment adjusted because an alternate benefit has been provided,Contractual/Payment,Contractual/Payment/Other
CR17,Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided.,Documentation/Attachments,Documentation/Attachments
CR170,Payment is denied when performed/billed by this type of provider.,Coverage/Eligibility,Coverage/Eligibility
CR171,Payment is denied when performed/billed by this type of provider in this type of facility.,Network/Provider Contract,Network/Provider Credential
CR172,Payment is adjusted when performed/billed by a provider of this specialty,Provider Billing Error,Provider Billing Error/Other
CR173,Payment adjusted because this service was not prescribed by a physician,Coverage/Eligibility,Coverage/Eligibility
CR174,Payment denied because this service was not prescribed prior to delivery,Coverage/Eligibility,Coverage/Eligibility
CR175,Payment denied because the prescription is incomplete,Coverage/Eligibility,Coverage/Eligibility
CR176,Payment denied because the prescription is not current,Coverage/Eligibility,Coverage/Eligibility
CR177,Payment denied because the patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
CR178,Payment adjusted because the patient has not met the required spend down requirements.,Documentation/Attachments,Documentation/Attachments
CR179,Payment adjusted because the patient has not met the required waiting requirements,Medical Necessity/Review,Medical Necessity/Review
CR18,Duplicate claim/service.,Provider Billing Error,Provider Billing Error/Duplicate
CR180,Payment adjusted because the patient has not met the required residency requirements,Contractual/Payment,Contractual/UCR
CR181,Payment adjusted because this procedure code was invalid on the date of service,Provider Billing Error,Provider Billing Error/Coding
CR182,Payment adjusted because the procedure modifier was invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
CR183,The referring provider is not eligible to refer the service billed.,Network/Provider Contract,Network/Provider Credential
CR184,The prescribing/ordering provider is not eligible to prescribe/order the service billed.,Network/Provider Contract,Network/Provider Credential
CR185,The rendering provider is not eligible to perform the service billed.,Network/Provider Contract,Network/Provider Credential
CR186,Payment adjusted since the level of care changed,Contractual/Payment,Contractual/Payment/Other
CR187,Health Savings account payments,Pending/Processing,Pending/Review
CR188,This product/procedure is only covered when used according to FDA recommendations.,Coverage/Eligibility,Coverage/Eligibility
CR189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,Provider Billing Error,Provider Billing Error/Coding
CR19,Claim denied because this is a work-related injury/illness and thus the liability of the Worker's Compensation Carrier.,Other Insurance,COB/No Fault
CR190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,Documentation/Attachments,Documentation/Attachments
CR191,Claim denied because this is not a work related injury/illness and thus not the liability of the workers' compensation carrier.,Other Insurance,COB/No Fault
CR192,Non standard adjustment code from paper remittance advice.,Contractual/Payment,Contractual/Payment/Other
CR193,Original payment decision is being maintained. This claim was processed properly the first time.,Appeals/Timely Filing,Appeals/Timely Filing
CR194,"Payment adjusted when anesthesia is performed by the operating physician, the assistant surgeon or the attending physician",Bundled/Inclusive,Bundled/Inclusive
CR195,Payment denied/reduced due to a refund issued to an erroneous priority payer for this claim/service,Refund/Recovery,Refund/Recovery
CR196,Claim/service denied based on prior payer's coverage determination.,Coverage/Eligibility,Coverage/Eligibility
CR197,Payment denied/reduced for absence of precertification/authorization,Authorization/Precert,Authorization/Precert
CR198,"Payment denied/reduced for exceeded, precertification/authorization",Authorization/Precert,Authorization/Precert
CR199,Revenue code and Procedure code do not match.,Provider Billing Error,Provider Billing Error/Coding
CR2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
CR20,Claim denied because this injury/illness is covered by the liability carrier.,Other Insurance,COB/No Fault
CR200,Expenses incurred during lapse in coverage,Coverage/Eligibility,Coverage/Eligibility
CR201,Workers Compensation case settled. Patient is responsible for amount of this claim/service through WC 'Medicare set aside arrangement' or other agreement. (Use group code PR).,Other Insurance,Coverage/Workers Comp
CR21,Claim denied because this injury/illness is the liability of the no-fault carrier.,Other Insurance,COB/No Fault
CR22,Payment adjusted because this care may be covered by another payer per coordination of benefits.,COB/Other Payer,COB/Other Payer
CR23,The impact of prior payer(s) adjudication,COB/Other Payer,COB/Other Payer
CR24,Payment for charges adjusted. Charges are covered under a capitation agreement/managed care plan.,Contractual/Payment,Contractual/UCR
CR25,Payment denied. Your Stop loss deductible has not been met.,Patient Responsibility,Patient Responsibility/Deductible
CR26,Expenses incurred prior to coverage.,Coverage/Eligibility,Coverage/Eligibility
CR27,Expenses incurred after coverage terminated,Coverage/Eligibility,Coverage/Eligibility
CR28,Coverage not in effect at the time the service was provided.,Coverage/Eligibility,Coverage/Eligibility
CR29,The time limit for filing has expired,Appeals/Timely Filing,Appeals/Timely Filing
CR3,Co-payment Amount,Patient Responsibility,Patient Responsibility/Copay
CR30,"Payment adjusted because the patient has not met the required eligibility, spend down, waiting, or residency requirements.",Contractual/Payment,Contractual/Payment/Other
CR31,Claim denied as patient cannot be identified as our insured.,Coverage/Eligibility,Coverage/Eligibility
CR32,Our records indicate that this dependent is not an eligible dependent as defined.,Documentation/Attachments,Documentation/Attachments
CR33,Claim denied. Insured has no dependent coverage.,Coverage/Eligibility,Coverage/Eligibility
CR34,Claim denied. Insured has no coverage for newborns.,Coverage/Eligibility,Coverage/Eligibility
CR35,Lifetime benefit maximum has been reached.,Benefit Limits,Benefit Limits
CR36,Balance does not exceed co-payment amount.,Patient Responsibility,Patient Responsibility/Copay
CR37,Balance does not exceed deductible.,Patient Responsibility,Patient Responsibility/Deductible
CR38,Services not provided or not provided as frequently as billed,Provider Billing Error,Provider Billing Error/Other
CR39,Services denied at the time authorization/pre-certification was requested.,Authorization/Precert,Authorization/Precert
CR4,The procedure code is inconsistent with the modifier used or a required modifier is missing.,Provider Billing Error,Provider Billing Error/Modifier
CR40,Charges do not meet qualifications for emergent/urgent care.,Coverage/Eligibility,Coverage/Eligibility
CR41,Discount agreed to in Preferred Provider contract.,Provider Billing Error,Provider Billing Error/Coding
CR42,Charges exceed our fee schedule or maximum allowable amount.,Contractual/Payment,Contractual/UCR
CR43,Gramm-Rudman reduction.,Provider Billing Error,Provider Billing Error/Coding
CR44,Prompt-pay discount.,Contractual/Payment,Contractual/Payment/Other
CR45,Charges exceed your contracted/ legislated fee arrangement. This change to be effective 6/1/07: Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement. (Use Group Codes PR or CO depending upon liability).,Contractual/Payment,Contractual/UCR
CR46,This (these) service(s) is (are) not covered.,Authorization/Precert,Authorization/Precert
CR47,"This (these) diagnosis(es) is (are) not covered, missing, or are invalid.",Provider Billing Error,Provider Billing Error/Diagnosis
CR48,This (these) procedure(s) is (are) not covered.,Other Insurance,Coverage/Workers Comp
CR49,These are non-covered services because this is a routine exam or screening procedure done in conjunction with a routine exam.,Coverage/Eligibility,Coverage/Eligibility
CR5,The procedure code/bill type is inconsistent with the place of service.,Provider Billing Error,Provider Billing Error/POS
CR50,These are non-covered services because this is not deemed a 'medical necessity' by the payer.,Medical Necessity/Review,Medical Necessity/Review
CR51,These are non-covered services because this is a pre-existing condition,Bundled/Inclusive,Bundled/Inclusive
CR52,The referring/prescribing/rendering provider is not eligible to refer/prescribe/order/perform the service billed.,Network/Provider Contract,Network/Provider Credential
CR53,Services by an immediate relative or a member of the same household are not covered.,Coverage/Eligibility,Coverage/Eligibility
CR54,Multiple physicians/assistants are not covered in this case .,Coverage/Eligibility,Coverage/Eligibility
CR55,Claim/service denied because procedure/treatment is deemed experimental/investigational by the payer.,Medical Necessity/Review,Medical Necessity/Review
CR56,Claim/service denied because procedure/treatment has not been deemed 'proven to be effective' by the payer.,Medical Necessity/Review,Medical Necessity/Review
CR57,"Payment denied/reduced because the payer deems the information submitted does not support this level of service, this many services, this length of service, this dosage, or this day's supply.",Coverage/Eligibility,Coverage/Eligibility
CR58,Payment adjusted because treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service.,Provider Billing Error,Provider Billing Error/POS
CR59,Charges are adjusted based on multiple surgery rules or concurrent anesthesia rules.,Bundled/Inclusive,Bundled/Inclusive
CR6,The procedure/revenue code is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Coding
CR60,Charges for outpatient services with this proximity to inpatient services are not covered.,Bundled/Inclusive,Bundled/Inclusive
CR61,Charges adjusted as penalty for failure to obtain second surgical opinion.,Coverage/Eligibility,Coverage/Eligibility
CR62,"Payment denied/reduced for absence of, or exceeded, pre-certification/authorization.",Authorization/Precert,Authorization/Precert
CR63,Correction to a prior claim.,Correction,Other/Unspecified
CR64,Denial reversed per Medical Review.,Correction,Other/Unspecified
CR65,Procedure code was incorrect. This payment reflects the correct code.,Provider Billing Error,Provider Billing Error/Coding
CR66,Blood Deductible.,Patient Responsibility,Patient Responsibility/Deductible
CR67,"Lifetime reserve days. (Handled in QTY, QTY01=LA)",Provider Billing Error,Provider Billing Error/Coding
CR68,DRG weight. (Handled in CLP12),DRG/Outlier,DRG/Outlier
CR69,Day outlier amount.,DRG/Outlier,DRG/Outlier
CR7,The procedure/revenue code is inconsistent with the patient's gender.,Provider Billing Error,Provider Billing Error/Coding
CR70,Cost outlier - Adjustment to compensate for additional costs.,DRG/Outlier,DRG/Outlier
CR71,Primary Payer amount.,COB/Other Payer,COB/Other Payer
CR72,"Coinsurance day. (Handled in QTY, QTY01=CD)",Patient Responsibility,Patient Responsibility/Coinsurance
CR73,Administrative days.,DRG/Outlier,DRG/Outlier
CR74,Indirect Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
CR75,Direct Medical Education Adjustment.,DRG/Outlier,DRG/Outlier
CR76,Disproportionate Share Adjustment.,DRG/Outlier,DRG/Outlier
CR77,"Covered days. (Handled in QTY, QTY01=CA)",DRG/Outlier,DRG/Outlier
CR78,Non-Covered days/Room charge adjustment.,Coverage/Eligibility,Coverage/Eligibility
CR79,Cost Report days. (Handled in MIA15),DRG/Outlier,DRG/Outlier
CR8,The procedure code is inconsistent with the provider type/specialty (taxonomy).,Provider Billing Error,Provider Billing Error/Coding
CR80,"Outlier days. (Handled in QTY, QTY01=OU)",DRG/Outlier,DRG/Outlier
CR81,Discharges.,DRG/Outlier,DRG/Outlier
CR82,PIP days.,DRG/Outlier,DRG/Outlier
CR83,Total visits.,DRG/Outlier,DRG/Outlier
CR84,Capital Adjustment. (Handled in MIA),DRG/Outlier,DRG/Outlier
CR85,Interest amount.,Contractual/Payment,Contractual/Payment/Other
CR86,Statutory Adjustment.,Contractual/Payment,Contractual/Payment/Other
CR87,Transfer amount.,Contractual/Payment,Contractual/Payment/Other
CR88,Adjustment amount represents collection against receivable created in prior overpayment.,Refund/Recovery,Refund/Recovery
CR89,Professional fees removed from charges.,COB/Other Payer,COB/Other Payer
CR9,The diagnosis is inconsistent with the patient's age.,Provider Billing Error,Provider Billing Error/Diagnosis
CR90,Ingredient cost adjustment.,Other Insurance,Coverage/Workers Comp
CR91,Dispensing fee adjustment.,Medical Necessity/Review,Medical Necessity/Review
CR92,Claim Paid in full.,Other Insurance,Coverage/Workers Comp
CR93,No Claim level Adjustments.,Coverage/Eligibility,Coverage/Eligibility
CR94,Processed in Excess of charges.,Program/Demo Adjustment,Program/Demo
CR95,Benefits adjusted. Plan procedures not followed.,Provider Billing Error,Provider Billing Error/Other
CR96,Non-covered charge(s). This change to be effective 4/1/2007: At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code.),Coverage/Eligibility,Coverage/Eligibility
CR97,Payment adjusted because the benefit for this service is included in the payment/allowance for another service/procedure that has already been adjudicated,Bundled/Inclusive,Bundled/Inclusive
CR98,The hospital must file the Medicare claim for this inpatient non-physician service.,Benefit Limits,Benefit Limits
CR99,Medicare Secondary Payer Adjustment Amount.,COB/Other Payer,COB/Other Payer
CRA0,Patient refund amount.,Refund/Recovery,Refund/Recovery
CRA1,Claim/Service denied. At least one Remark Code must be provided (may be comprised of either the Remittance Advice Remark Code or NCPDP Reject Reason Code).,Denial,Other/Unspecified
CRA2,Contractual adjustment.,Contractual/Payment,Contractual/Payment/Other
CRA3,Medicare Secondary Payer liability met.,COB/Other Payer,COB/Other Payer
CRA4,Medicare Claim PPS Capital Day Outlier Amount.,DRG/Outlier,DRG/Outlier
CRA5,Medicare Claim PPS Capital Cost Outlier Amount.,DRG/Outlier,DRG/Outlier
CRA6,Prior hospitalization or 30 day transfer requirement not met.,Coverage/Eligibility,Coverage/Eligibility
CRA7,Presumptive Payment Adjustment,Contractual/Payment,Contractual/Payment/Other
CRA8,Claim denied; ungroupable DRG,DRG/Outlier,DRG/Outlier
CRB1,Non-covered visits.,Patient Responsibility,Patient Responsibility/Deductible
CRB10,Allowed amount has been reduced because a component of the basic procedure/test was paid. The beneficiary is not liable for more than the charge limit for the basic procedure/test.,Provider Billing Error,Provider Billing Error/Diagnosis
CRB11,The claim/service has been transferred to the proper payer/processor for processing. Claim/service not covered by this payer/processor.,Provider Billing Error,Provider Billing Error/Diagnosis
CRB12,Services not documented in patients' medical records.,Documentation/Attachments,Documentation/Attachments
CRB13,Previously paid. Payment for this claim/service may have been provided in a previous payment.,Provider Billing Error,Provider Billing Error/Duplicate
CRB14,Payment denied because only one visit or consultation per physician per day is covered.,Provider Billing Error,Provider Billing Error/Other
CRB15,Payment adjusted because this service/procedure requires that a qualifying service/procedure be received and covered. The qualifying other service/procedure has not been received/adjudicated.,Authorization/Precert,Authorization/Precert
CRB16,Payment adjusted because 'New Patient' qualifications were not met.,Provider Billing Error,Provider Billing Error/Other
CRB17,"Payment adjusted because this service was not prescribed by a physician, not prescribed prior to delivery, the prescription is incomplete, or the prescription is not current.",Documentation/Attachments,Documentation/Attachments
CRB18,Payment adjusted because this procedure code and modifier were invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
CRB19,Claim/service adjusted because of the finding of a Review Organization.,Other Insurance,Coverage/Workers Comp
CRB2,Covered visits.,Patient Responsibility,Patient Responsibility/Coinsurance
CRB20,Payment adjusted because procedure/service was partially or fully furnished by another provider.,Other Insurance,COB/No Fault
CRB21,The charges were reduced because the service/care was partially furnished by another physician.,Other Insurance,COB/No Fault
CRB22,This payment is adjusted based on the diagnosis.,Provider Billing Error,Provider Billing Error/Diagnosis
CRB23,Payment denied because this provider has failed an aspect of a proficiency testing program.,COB/Other Payer,COB/Other Payer
CRB3,Covered charges.,Patient Responsibility,Patient Responsibility/Copay
CRB4,Late filing penalty.,Appeals/Timely Filing,Appeals/Timely Filing
CRB5,Payment adjusted because coverage/program guidelines were not met or were exceeded.,Coverage/Eligibility,Coverage/Eligibility
CRB6,"This payment is adjusted when performed/billed by this type of provider, by this type of provider in this type of facility, or by a provider of this specialty.",Provider Billing Error,Provider Billing Error/Coding
CRB7,This provider was not certified/eligible to be paid for this procedure/service on this date of service.,Provider Billing Error,Provider Billing Error/Coding
CRB8,"Claim/service not covered/reduced because alternative services were available, and should have been utilized.",Provider Billing Error,Provider Billing Error/Coding
CRB9,Services not covered because the patient is enrolled in a Hospice.,Coverage/Eligibility,Coverage/Hospice
CRD1,Claim/service denied. Level of subluxation is missing or inadequate.,Coverage/Eligibility,Coverage/Eligibility
CRD10,Claim/service denied. Completed physician financial relationship form not on file.,Documentation/Attachments,Documentation/Attachments
CRD11,Claim lacks completed pacemaker registration form.,Documentation/Attachments,Documentation/Attachments
CRD12,Claim/service denied. Claim does not identify who performed the purchased diagnostic test or the amount you were charged for the test.,Documentation/Attachments,Documentation/Attachments
CRD13,Claim/service denied. Performed by a facility/supplier in which the ordering/referring physician has a financial interest.,Conflict of Interest,Other/Unspecified
CRD14,Claim lacks indication that plan of treatment is on file.,Documentation/Attachments,Documentation/Attachments
CRD15,Claim lacks indication that service was supervised or evaluated by a physician.,Documentation/Attachments,Documentation/Attachments
CRD16,Claim lacks prior payer payment information.,Documentation/Attachments,Documentation/Attachments
CRD17,Claim/Service has invalid non-covered days.,Provider Billing Error,Provider Billing Error/Other
